File;ORM_check;ORM_invited_or_challange;IRM_check;IRM_invited_or_challange;Folder;ID;Start Date;End Date;Process Category;Tribe;Type
;;;;;Lenen zakelijk/Z_Other/2024-03-04 Instant Lending extension to BV  VOF;2566;2024-03-04 00:00:00;2024-12-17 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Business Lending;Change
;;;;;Customer Data/Process change/2024-03-06 Add 2nd LR via MO;2570;2024-03-06 00:00:00;2024-04-30 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Hypotheken - WUB/Z_Other/2024-03-06 Rentecomponenten hele looptijd en EEL;2571;2024-03-06 00:00:00;2024-04-03 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Digital Sales/Consumer Loans/2024-03-07 Loans category page shorter tiles;2573;2024-03-07 00:00:00;2024-07-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Consumer Loans/2024-03-07 Persoonlijke lening USPs;2574;2024-03-07 00:00:00;2024-03-22 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-03-07 Deceased Management  Extend digital scope;2575;2024-03-07 00:00:00;2025-02-10 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Digital Sales/Personalization/2024-03-07 New to Bank Journey Insurance;2576;2024-03-07 00:00:00;2024-03-19 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Investments - Verdi/2024-03-11 New Content Always On Investments;2580;2024-03-11 00:00:00;2024-03-19 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Z_Other/2024-02-29 DocSign and Upload for Advisors and Customers;2581;2024-02-29 00:00:00;2024-06-28 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Lenen zakelijk/Leningen Actief-RTVAST/2024-03-12 Fulfilment after manual check of Instant Lending term loans;2584;2024-03-12 00:00:00;2024-08-26 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-03-13 AEX Garantieproduct maart24;2586;2024-03-13 00:00:00;2024-03-22 00:00:00;Communication;Tribe Investments;Change
;;;;;Digital Sales/Investments - Verdi/2024-03-14 Contentwijzigingen Beleggen op ING.nl;2588;2024-03-14 00:00:00;2024-04-08 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Business Lending/2024-03-14 Cash flow insights;2589;2024-03-14 00:00:00;2024-09-17 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Hypotheken - WUB/Z_Other/2024-03-14 Verduurzaamheid informatie op de website van WestlandUtrecht Bank;2591;2024-03-14 00:00:00;2024-04-17 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Payments_Giraal betvk/SEPA Direct Debit (credit en debit)/2024-03-15 Feature 5034838 Migration of DOM to CIP;2593;2024-03-15 00:00:00;2024-10-07 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Hypotheken/ILM/2024-03-18 HomeING Home Retrofit Journey;2594;2024-03-18 00:00:00;2024-12-12 00:00:00;New financial product/-service/channel (PAP);Tribe Mortgages;Change
;;;;;Verzekeren/New Product/2024-03-18 Company Van Insurance Distribution;2595;2024-03-18 00:00:00;2024-06-26 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Verzekeren/New Product/2024-03-18 Company Liability Insurance Distribution;2596;2024-03-18 00:00:00;2024-07-24 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Verzekeren/New Product/2024-03-18 Professional Liability Insurance Distribution;2597;2024-03-18 00:00:00;2024-07-24 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Tribe Business Lending/2024-03-19 SBF Attach for material modifications  1 mio. LOO;2601;2024-03-19 00:00:00;2024-04-25 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Private Banking _ Wealth/Adviesteam Vermogen/2024-03-21 ATV toolkit Lending slides;2607;2024-03-21 00:00:00;2024-06-17 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-03-21 Communication plan Unresponsive customers Lapwing;2608;2024-03-21 00:00:00;2024-06-21 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Fraud/Process change/2024-03-21 Simswap  Twilio;2609;2024-03-21 00:00:00;2024-02-13 00:00:00;Other change (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Branding/Communication/2024-03-21 EK 2024 Communications;2610;2024-03-21 00:00:00;2024-05-23 00:00:00;Communication;CoE Communications & Brand Experience;Change
;;;;;Branding/Other/2024-03-21 EK 2024 Gamefilter;2611;2024-03-21 00:00:00;2024-05-13 00:00:00;Other change (non-PAP);CoE Communications & Brand Experience;Change
;;;;;Branding/Other/2024-03-21 EK 2024 Voetbalpoule;2612;2024-03-21 00:00:00;2024-05-30 00:00:00;Other change (non-PAP);CoE Communications & Brand Experience;Change
;;;;;Digital Sales/Current accounts/2024-03-21 Betaalrekeningen AFM check uitkomst;2613;2024-03-21 00:00:00;2024-07-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Z_Other/2024-03-22 NASA tekstblokken verduurzaming woning;2614;2024-03-22 00:00:00;2024-06-03 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Hypotheken/Krediethypotheek/2024-03-22 Convert ING Credit mortgage to amortizing mortgage;2615;2024-03-22 00:00:00;2024-06-19 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Hypotheken/Z_Other/2024-03-22 Energy Label Pricing;2617;2024-03-22 00:00:00;2025-02-13 00:00:00;New financial product/-service/channel (PAP);Tribe Mortgages;Change
;;;;;Hypotheken/Z_Other/2024-03-22 DQ Issue 60b Variabele rente met onterechte op en afslagen;2619;2024-03-22 00:00:00;2024-06-19 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-03-18 Interview digital  client development;2620;2024-03-18 00:00:00;2024-04-26 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Customer Data/New Product/2024-03-25 CCBRGatewayAPI;2628;2024-03-25 00:00:00;2024-12-02 00:00:00;Risk assessment (non-PAP);Tribe Digital Business Banking;Change
;;;;;Hypotheken - WUB/Z_Other/2024-03-25 Vervallen DVD bij advies;2629;2024-03-25 00:00:00;2024-04-25 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Current accounts/Betaalrekening/2024-03-25 steffi;2630;2024-03-25 00:00:00;2024-07-02 00:00:00;Other change (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Digital Sales/Payments and Cards/2024-03-26 Content Review Creditcards;2632;2024-03-26 00:00:00;2024-06-28 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Investments - Verdi/2024-03-27 Eenvoudig Beleggen OpSafe Campaign  Acquisitie Communicatie DS;2633;2024-03-27 00:00:00;2024-04-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;KYC/Process change/2024-03-27 Workaround screening principals during reviews;2634;2024-03-27 00:00:00;2024-03-27 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
;;;;;Hypotheken - WUB/Z_Other/2024-03-27 Aflossen onzuiver leningdeel zonder adviseur;2636;2024-03-27 00:00:00;2024-06-18 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Digital Sales/Mortgages/2024-03-28 Digital Orientation Milestone Overview Pages Intro;2641;2024-03-28 00:00:00;2024-03-29 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Investments - Verdi/2024-03-29 Investment and Savings Customer Feedback;2645;2024-03-29 00:00:00;2024-07-11 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Vermogensbeheer/2024-03-29 Revision communicatie via DVT;2646;2024-03-29 00:00:00;2024-03-29 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Private Banking _ Wealth/Customer Journeys/2024-04-01 Rapportage Sustainalytics Maatwerk 2024;2648;2024-04-01 00:00:00;2024-07-03 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Digital Sales/Z_Other/2024-04-02 Footprint Insight Survey April 2024;2651;2024-04-02 00:00:00;2024-04-02 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Z_Other/2024-04-02 DQ 20 Schuldrest is hoger dan de oorspronkelijke hoofdsom;2652;2024-04-02 00:00:00;2024-04-30 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-04-02 FRN uitloop communicatie Apr24;2653;2024-04-02 00:00:00;2024-05-23 00:00:00;Communication;Tribe Investments;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2024-04-02 Adding financial health to TC of Current Account;2656;2024-04-02 00:00:00;2024-07-18 00:00:00;Risk assessment (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Current accounts/2024-04-03 Youth Accounts  AFM check for paid and owned media;2657;2024-04-03 00:00:00;2024-07-23 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-04-04 Explore page MBA migration;2659;2024-04-04 00:00:00;2024-04-15 00:00:00;Communication;Tribe Investments;Change
;;;;;Hypotheken/Z_Other/2024-04-04 Meerdere IBANrekeningen;2660;2024-04-04 00:00:00;2024-04-15 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Customer IT Systems & Processes/Other/2024-04-05 Showing contact center dashboards without VPN;2661;2024-04-05 00:00:00;2025-03-03 00:00:00;Risk assessment (non-PAP);Tribe Assisted Channels;Change
;;;;;Verzekeren/ING Autoverzekering/2024-04-05 Switch promotion conditions Car Insurance;2662;2024-04-05 00:00:00;2024-05-13 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Verzekeren/ING Woonverzekering/2024-04-05 Switch promotion conditions Home Insurance;2663;2024-04-05 00:00:00;2024-09-24 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Fraud/Process change/2024-04-05 Request Username Letter digitally for business customers instead of via call;2664;2024-04-05 00:00:00;2024-09-20 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Hypotheken/ILM/2024-04-08 HomeING Home Retrofit Journey PILOT;2667;2024-04-08 00:00:00;2024-06-03 00:00:00;New financial product/-service/channel (PAP);Tribe Mortgages;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-04-09 Verlenging Honeymoon;2669;2024-04-09 00:00:00;2024-04-26 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Digital Sales/Current accounts/2024-04-09 Spaarrekeningen branded campagne SEA BR;2670;2024-04-09 00:00:00;2024-04-16 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Verzekeren/Z_Other/2024-04-09 Active Provision Transparancy 2024;2671;2024-04-09 00:00:00;2024-05-29 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Verzekeren/Doorlopende ING Reisverzekering/2024-04-09 Travel Campaign 2024;2676;2024-04-09 00:00:00;2024-05-17 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Digital Sales/Current accounts/2024-04-10 Display 18 Q2 2024;2677;2024-04-10 00:00:00;2024-04-16 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Payments and Cards/2024-04-10 Creditcards Google Ads RSA Teksten;2678;2024-04-10 00:00:00;2024-04-16 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Customer Data/Other/2024-04-11 Proxy Charging;2681;2024-04-11 00:00:00;2024-05-29 00:00:00;Other change (non-PAP);Tribe Digital Business Banking;Change
;;;;;Verzekeren/ING Woonverzekering/2024-04-11 Home product upgrade June 2024;2684;2024-04-11 00:00:00;2024-06-05 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Telefonisch betaalkanaal/Saldolijn/2024-04-11 Letter Saldolijn;2685;2024-04-11 00:00:00;2024-04-18 00:00:00;Communication;Tribe Assisted Channels;Change
;;;;;Digital Sales/Investments - Verdi/2024-04-11 POC Hybrid smart investment widget in app communication;2686;2024-04-11 00:00:00;2024-05-06 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Doorlopend Krediet/Z_Other/2024-04-11 20240411 risklog update Lapwing Q1 and Q2 2024;2687;2024-04-11 00:00:00;2024-07-25 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Private Banking _ Wealth/Internetpagina/2024-04-12 Internetpagina  Multi Family Offices (MFO);2688;2024-04-12 00:00:00;2024-09-18 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Business advice and sales/Communication/2024-04-15 Proxy charging communication;2691;2024-04-15 00:00:00;2024-10-16 00:00:00;Communication;Business Banking Sales;Change
;;;;;Hypotheken/ILM/2024-04-16 Show Enery Label in MING  App;2695;2024-04-16 00:00:00;2025-01-15 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-04-16 ACE Welcome ZOB;2696;2024-04-16 00:00:00;2025-02-06 00:00:00;Communication;Tribe Investments;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-04-16 IPO Flow Structured Products;2698;2024-04-16 00:00:00;2024-09-10 00:00:00;Communication;Tribe Investments;Change
;;;;;Credit Cards/Creditcard/2024-04-16 OPE Credit card customer letter;2700;2024-04-16 00:00:00;2024-05-13 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;KYC/Organisational change/2024-04-16 SME and MASS Periodic Review IR;2701;2024-04-16 00:00:00;2024-11-26 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;Z_Other/Tribe Business Lending/2024-04-17 Agri and Road Transport Data for ESG;2702;2024-04-17 00:00:00;2024-10-25 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Consumer Lending & Insurance/2024-05-17 Letters for te fitte klanten and Continuous Limits;2710;2024-05-17 00:00:00;2024-07-12 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Hypotheken - WUB/Z_Other/2024-04-19 Brief Verzoek aanmaken MijnWUB account (Unsecured emailen);2713;2024-04-19 00:00:00;2024-04-24 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Hypotheken - WUB/Unsecured mailen/2024-04-19 Brief verzoek aanmaken MijnWUB account (Unsecured emailen);2714;2024-04-19 00:00:00;2024-04-24 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-04-22 Phase Out Air Miles for Mastercard;2726;2024-04-22 00:00:00;2024-04-23 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Lenen zakelijk/Z_Other/2024-04-22 Reorganization PLM;2727;2024-04-22 00:00:00;2024-04-24 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Client Services/Process change/2024-04-23 Decisiontree Emergencyline mobile app;2728;2024-04-23 00:00:00;2024-04-23 00:00:00;Other change (non-PAP);Client Services Retail Contact Centre;Change
;;;;;Kantoren/Z_Other/2024-04-23 Relatiemarketing EK Voetbal 2024 ING Huizen;2729;2024-04-23 00:00:00;2024-05-02 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Payments_Giraal betvk/Z_Other/2024-04-23 EWV Sendlist in Mobile Banking App NL;2730;2024-04-23 00:00:00;2024-05-14 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Digital Sales/Consumer Loans/2024-04-26 Personal loans page shorter intro;2735;2024-04-26 00:00:00;2024-04-26 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Current accounts/2024-04-26 Expats sitelinks Google Ads;2736;2024-04-26 00:00:00;2024-04-26 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Current accounts/2024-04-26 Spaarrekening nieuwe klant Landingspagina;2737;2024-04-26 00:00:00;2024-06-04 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Fraud/Process change/2024-04-29 Automatic block on recovery request;2742;2024-04-29 00:00:00;2024-11-26 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-04-30 Communicatie om app gebruikers te werven;2744;2024-04-30 00:00:00;2024-06-21 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-05-02 Deceased  Mobile onboarding before notification;2745;2024-05-02 00:00:00;2025-02-10 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Business advice and sales/Communication/2024-05-02 Communicatie landelijke uitrol Intermediair zakelijke bediening;2749;2024-05-02 00:00:00;2024-10-17 00:00:00;Communication;Business Banking Sales;Change
;;;;;Lenen zakelijk/Z_Other/2024-05-03 Online Lending  Orientation Tool (redesign QuickCheck);2750;2024-05-03 00:00:00;2025-01-10 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-05-06 ZOB Pricing communicatie;2751;2024-05-06 00:00:00;2024-05-08 00:00:00;Communication;Tribe Investments;Change
;;;;;Lenen zakelijk/Leningen Actief-EUROPT/2024-05-06 Euribor Optimaallening  adjust minimum tenor;2752;2024-05-06 00:00:00;2024-08-09 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Customer IT Systems & Processes/Process change/2024-05-06 CIT  NL Business Risk Assessment;2753;2024-05-06 00:00:00;2025-01-20 00:00:00;Risk assessment (non-PAP);Tribe Assisted Channels;Change
;;;;;Z_Other/Tribe Business Lending/2024-05-06 Short Term Solutions Lease ComFin Integration;2755;2024-05-06 00:00:00;2024-05-08 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Hypotheken/Aflossingsvrije hypotheek/2024-05-06 Future Repayment Strategy administration;2756;2024-05-06 00:00:00;2024-07-23 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-05-06 Knowledge  Experience category Garantieproducten;2757;2024-05-06 00:00:00;2025-02-21 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2024-05-07 EB ACE  quarterly performance update;2759;2024-05-07 00:00:00;2024-09-09 00:00:00;Communication;Tribe Investments;Change
;;;;;Hypotheken/Z_Other/2024-05-07 webpages translation to ENG;2761;2024-05-07 00:00:00;2024-07-26 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Commercial Finance/Other/2024-05-07 ComfinCore;2763;2024-05-07 00:00:00;2024-11-05 00:00:00;Other change (non-PAP);Commercial Finance;Change
;;;;;Lenen zakelijk/Z_Other/2024-05-08 Target AE  Phase 1;2764;2024-05-08 00:00:00;2025-01-10 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-05-08 Get Started UX survey;2765;2024-05-08 00:00:00;2024-09-02 00:00:00;Communication;Tribe Investments;Change
;;;;;Hypotheken/Z_Other/2024-05-13 18 maanden Brief Hypotheken Q2 24;2767;2024-05-13 00:00:00;2024-05-17 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Digital Sales/Investments - Verdi/2024-05-13 New adextensions for paid search (SEA);2771;2024-05-13 00:00:00;2024-05-21 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Investments - Verdi/2024-05-14 SEO change spaardeposito page;2773;2024-05-14 00:00:00;2024-05-30 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Morse/2024-05-14 Issue halfjaars16 mnds betalers;2775;2024-05-14 00:00:00;2025-04-04 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Digital Sales/Investments - Verdi/2024-05-14 SEO optimization investment pages ing.nl Q2;2776;2024-05-14 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Private Banking _ Wealth/Internetpagina/2024-05-15 Webspaginas Vermogensbeheer  inflatie pagina verbeteren;2777;2024-05-15 00:00:00;2024-10-11 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Hypotheken/Z_Other/2024-05-15 Actualisatie Normkader PAW 172024;2778;2024-05-15 00:00:00;2024-07-04 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Digital Sales/Payments and Cards/2024-05-16 Creditcards Discovery Zomercampagne 2024;2783;2024-05-16 00:00:00;2024-05-21 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Digital Sales/Current accounts/2024-05-16 QR Code App Download landingspagina;2784;2024-05-16 00:00:00;2024-05-21 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/ILM/2024-05-16 Convert mortgage without advice;2786;2024-05-16 00:00:00;2024-07-31 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Private Banking _ Wealth/Campagnes/2024-05-17 Wealth Beyond Yourself  Branded content Marcel Belt (Marcels soap);2789;2024-05-17 00:00:00;2024-07-10 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Hypotheken/Z_Other/2024-05-17 Changes Acceptance Policy Mortgages July 2024;2790;2024-05-17 00:00:00;2024-07-10 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Hypotheken/Z_Other/2024-05-21 ATW dashboard IRIS;2796;2024-05-21 00:00:00;2024-11-01 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Z_Other/Tribe Business Lending/2024-05-21 ComplyExplain for EWS reviews  1mio;2800;2024-05-21 00:00:00;2024-07-01 00:00:00;Other change (non-PAP);Tribe Business Lending;Change
;;;;;Digital Sales/Savings/2024-05-22 Savings Tool for Child savings account;2804;2024-05-22 00:00:00;2024-10-28 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2024-04-10 SummerProof;2810;2024-04-10 00:00:00;2024-05-30 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Lenen zakelijk/Z_Other/2024-05-27 Green Loan Floating Rate;2811;2024-05-27 00:00:00;2025-01-06 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Hypotheken/ING Spaarhypotheek/2024-05-27 Brief ING Spaarhypotheek Onzuivere leningdelen;2812;2024-05-27 00:00:00;2024-07-18 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Credit Cards/Creditcard/2024-05-28 Restitutie positief saldo gesloten kaarten;2815;2024-05-28 00:00:00;2024-07-11 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;KYC/Process change/2024-05-29 Delivery list to reconciliate Verint with Pega  KYCO;2819;2024-05-29 00:00:00;2024-06-03 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
;;;;;Digital Sales/Investments - Verdi/2024-05-30 Vastlegging content check savings investments insurances loans;2824;2024-05-30 00:00:00;2024-06-28 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2024-06-03 Eenvoudig Beleggen  rendement grafiek;2832;2024-06-03 00:00:00;2024-06-06 00:00:00;Communication;Tribe Investments;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2024-06-03 Change product pages for Investments;2833;2024-06-03 00:00:00;2025-02-21 00:00:00;Communication;Tribe Investments;Change
;;;;;Private Banking _ Wealth/Customer Journeys/2024-06-04 SoB Onderhandse Akte;2836;2024-06-04 00:00:00;2025-02-27 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Hypotheken/ILM/2024-06-04 Zonnepanelen pagina aanpassing;2837;2024-06-04 00:00:00;2024-10-11 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Digital Sales/Investments - Verdi/2024-06-05 New adtexts SEA Investments;2839;2024-06-05 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;KYC/Organisational change/2024-06-05 Migration of TM Alert Handling  to Hubs PH;2840;2024-06-05 00:00:00;2024-11-26 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;KYC/Process change/2024-06-06 KICI  Integrate KICI Outreach Solution in Onboarding Journey(s);2842;2024-06-06 00:00:00;2024-06-06 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
;;;;;KYC/Process change/2024-06-06 Translation requests via PEGA;2844;2024-06-06 00:00:00;2024-07-31 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
;;;;;Hypotheken - WUB/WUB Overlijdensrisicoverzekering (act)/2024-06-10 WebORVaanpassing;2848;2024-06-10 00:00:00;2024-07-04 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Payments Cards Issuing/Z_Other/2024-06-10 Debit card details in IRIS card overview;2850;2024-06-10 00:00:00;2024-06-20 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Hypotheken/ILM/2024-06-11 Artikel koel huis;2851;2024-06-11 00:00:00;2024-06-28 00:00:00;Communication;Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Vermogensbeheer/2024-06-11 Change europoort EPIC;2852;2024-06-11 00:00:00;2024-12-23 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2024-06-11 New ESG tool phase 1;2853;2024-06-11 00:00:00;2024-11-19 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Private Banking _ Wealth/Customer Journeys/2024-06-11 20240611 Private Banking Authenticated Chat;2854;2024-06-11 00:00:00;2024-10-15 00:00:00;Other change (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Client Services/Other/2024-06-14 IAM Role Structure Change;2862;2024-06-14 00:00:00;2024-06-27 00:00:00;Other change (non-PAP);Client Services Business;Change
;;;;;Verzekeren/New Product/2024-06-16 Service flows Single SignOn Allianz Direct;2864;2024-06-16 00:00:00;2024-06-26 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Credit Cards/Creditcard/2024-06-16 Replace credit card  LostStolen;2865;2024-06-16 00:00:00;2024-07-15 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Private Banking _ Wealth/Campagnes/2024-06-17 Wealth Beyond Yourself activatie;2867;2024-06-17 00:00:00;2024-06-18 00:00:00;Communication;Private Banking & Wealth Mgt (Advice);Change
;;;;;Verzekeren/New Product/2024-06-17 Complaints process for Business Insurances;2869;2024-06-17 00:00:00;2024-06-26 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2024-06-17 Question of the day;2870;2024-06-17 00:00:00;2024-08-22 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2024-06-19 Eenvoudig Beleggen  English translation;2878;2024-06-19 00:00:00;2024-09-04 00:00:00;Communication;Tribe Investments;Change
;;;;;KYC/Process change/2024-06-19 KYCOKYCNL  Mass Onboarding;2879;2024-06-19 00:00:00;2024-12-02 00:00:00;Other change (non-PAP);Tribe KYC Services;Change
